session,start,end,seconds,rc
T-001-a1p0,1785635302,1785635515,213,rc=0
T-001-a1p1,1785635515,1785636022,507,rc=0
T-001-sfix-w,1785636075,1785636398,323,rc=0
T-001-sfix-r1,1785636406,1785636542,136,rc=0
T-001-sfix-w,1785636736,1785636806,70,rc=143
T-002-a1p0,1785637125,1785637466,341,rc=0
T-004-sfix-w,1785638558,1785639458,900,rc=124
T-004-sfix-r1,1785639458,1785640360,902,rc=124
T-005-a1p0,1785641284,1785641574,290,rc=0
T-007-a1p0,1785642349,1785643576,1227,rc=0
T-007-a1p1,1785643577,1785644362,785,rc=0
T-009-a1p0,1785646420,1785646836,416,rc=0
T-009-a2p0,1785646845,1785646950,105,rc=130
T-010-a1p0,1785647280,1785648125,845,rc=130
T-010-a2p0,1785648125,1785648182,57,rc=130
m5-evaluate-a1p0,1785648258,1785648427,169,rc=0
preflightfix-r1-a1p0,1785648911,1785649562,651,rc=0
preflightfix-r2-a1p0,1785650968,1785650987,19,rc=137
preflightfix-r2-a2p0,1785650988,1785651033,45,rc=130
deployfix-r1-a1p0,1785651206,1785651765,559,rc=137
deployfix-r1-a2p0,1785651916,1785651966,50,rc=130
